Time,Start,Duration,Fire,Firer,Target,Group speed (kn),Group course,Target speed (kn),Range (Kyd),Target bearing,Bearing side,Deflection,Deflection side,First correction modifier,Second correction modifier
Initial,NA,NA,FALSE,Emden,Sydney,19.17,331,23.3,9.9,115,S,71,P,1,1
9:40 - 9:43,0,3,TRUE,Emden,Sydney,19.17,358,23.3,9.97,86,S,91,P,1,1
9:43 - 9:46,3,3,TRUE,Emden,Sydney,19.59,358,23.73,10.06,84,S,101,P,1,1
9:46 - 9:49,6,3,TRUE,Emden,Sydney,20.01,0,24.15,10.34,79,S,106,P,1,1
9:49 - 9:52,9,3,TRUE,Emden,Sydney,20.42,1,24.58,10.6,77,S,104,P,1,1
9:52 - 9:55,12,3,TRUE,Emden,Sydney,20.84,9,25,10.58,67,S,107,P,1,1
9:55 - 9:58,15,3,TRUE,Emden,Sydney,19.15,11,22.28,10.43,62,S,108,P,1,1
9:58 - 10:01,18,3,TRUE,Emden,Sydney,17.46,37,19.55,10,32,S,111,P,1,1
10:01 - 10:04,21,3,TRUE,Emden,Sydney,15.77,92,16.83,9.18,32,P,111,P,1,1
10:04 - 10:07,24,3,TRUE,Emden,Sydney,14.08,110,14.1,8.6,64,P,105,P,1,1
10:07 - 10:10,27,3,TRUE,Emden,Sydney,14.94,106,11.21,8.53,77,P,104,P,1,1
10:10 - 10:13,30,3,TRUE,Emden,Sydney,15.8,90,8.33,8.21,77,P,102,P,1,1
10:13 - 10:16,33,3,TRUE,Emden,Sydney,16.66,77,5.44,7.96,78,P,102,P,1,1
10:16 - 10:19,36,3,FALSE,Emden,Sydney,14.68,65,7.52,7.83,82,P,109,P,1,1
10:19 - 10:22,39,3,TRUE,Emden,Sydney,12.71,21,9.61,7.89,55,P,117,P,1,1
10:22 - 10:25,42,3,TRUE,Emden,Sydney,10.73,278,11.69,7.54,40,S,121,P,1,1
10:25 - 10:28,45,3,TRUE,Emden,Sydney,12.44,272,11.87,7.33,44,S,122,P,1,1
10:28 - 10:31,48,3,TRUE,Emden,Sydney,14.16,273,12.04,7,43,S,122,P,1,1
10:31 - 10:34,51,3,TRUE,Emden,Sydney,15.87,272,12.22,6.35,44,S,121,P,1,1
10:34 - 10:37,54,3,TRUE,Emden,Sydney,17.58,274,12.39,5.7,44,S,123,P,1,1
10:37 - 10:40,57,3,TRUE,Emden,Sydney,16.89,274,15.42,5.33,48,S,162,P,1,1
10:40 - 10:43,60,3,TRUE,Emden,Sydney,16.2,312,18.44,5.54,39,S,116,S,1,1
10:43 - 10:46,63,3,TRUE,Emden,Sydney,15.51,53,21.47,5.31,45,P,126,S,1,1
10:46 - 10:49,66,3,TRUE,Emden,Sydney,15.66,62,21.36,5.57,46,P,129,S,1,1
10:49 - 10:52,69,3,TRUE,Emden,Sydney,15.82,69,21.26,5.88,46,P,134,S,1,1
10:52 - 10:55,72,3,TRUE,Emden,Sydney,15.97,183,21.15,6.94,160,P,131,S,1,1
10:55 - 10:58,75,3,TRUE,Emden,Sydney,16.06,291,20.81,9.5,110,S,132,S,1,1
10:58 - 11:01,78,3,TRUE,Emden,Sydney,16.15,297,20.47,10.25,121,S,16,S,1,1
11:01 - 11:04,81,3,TRUE,Emden,Sydney,16.23,300,20.13,9.2,125,S,16,P,1,1
11:04 - 11:07,84,3,TRUE,Emden,Sydney,16.32,297,19.79,8.43,130,S,34,P,1,1
11:07 - 11:10,87,3,TRUE,Emden,Sydney,18.65,295,19.16,7.92,132,S,46,P,1,1
11:10 - 11:13,90,3,TRUE,Emden,Sydney,20.98,324,18.52,7.93,108,S,39,P,1,1
11:13 - 11:15,92,2,TRUE,Emden,Sydney,23.31,347,17.89,7.16,92,S,25,P,1,1
