"range","16-in/50","16-in/45","15-in","14-in/50","14-in/45","13.5-in","12-in/50","12-in/45","10-in","9.2-in","8-in","7.5-in","6-in/53","6-in/50","5.5-in","5-in","4.7-in","4-in","3-in"
"0","3.6","3.6","3.9","4.2","4.2","4.2","4.2","3.9","3","4.2","4.2","10","15","12","15","15","12","12","16"
"2","3.57","3.57","3.87","4.16","4.16","4.16","4.17","3.87","2.97","4.17","4.17","9.9","14.82","11.86","14.82","14.82","11.88","11.88","15.8"
"4","3.52","3.52","3.81","4.1","4.1","4.1","4.11","3.81","2.93","4.1","4.1","9.77","14.63","11.7","14.63","14.62","11.7","11.7","15.42"
"6","3.47","3.44","3.74","4.03","4.01","4.03","4.05","3.73","2.85","3.98","3.96","9.64","14.43","11.53","14.43","14.39","11.49","11.48","14.42"
"8","3.41","3.33","3.65","3.92","3.88","3.92","3.98","3.59","2.71","3.8","3.72","9.49","14.21","11.33","14.21","14.12","11.25","11.22","12.33"
"10","3.27","3.2","3.5","3.79","3.69","3.77","3.84","3.39","2.51","3.53","3.4","9.32","13.96","11.11","13.93","13.81","10.82","10.72","--"
"12","3.12","3.04","3.33","3.62","3.51","3.58","3.64","3.13","2.3","3.22","2.99","9.14","13.69","10.87","13.62","13.46","10.07","9.76","--"
"14","2.99","2.89","3.17","3.45","3.33","3.4","3.46","2.92","2.11","2.95","2.61","8.89","13.01","10","12.71","11.6","8.41","8.07","--"
"16","2.86","2.74","3.02","3.28","3.15","3.22","3.3","2.72","1.93","2.7","2.38","8.51","11.71","8.68","11.23","9.89","7.03","6.7","--"
"18","2.73","2.59","2.87","3.12","2.98","3.05","3.14","2.52","1.77","2.46","2.18","7.82","10.16","--","9.75","8.4","5.87","--","--"
"20","2.6","2.46","2.72","2.96","2.81","2.89","2.99","2.34","1.61","2.26","1.98","6.78","8.86","--","8.45","--","--","--","--"
"22","2.49","2.34","2.58","2.81","2.65","2.73","2.83","2.18","--","--","--","6.01","--","--","7.35","--","--","--","--"
"24","2.38","2.22","2.45","2.67","--","2.58","2.68","--","--","--","--","5.4","--","--","6.25","--","--","--","--"
"26","2.26","2.1","2.32","2.54","--","--","--","--","--","--","--","4.88","--","--","--","--","--","--","--"
"28","2.15","1.99","2.2","2.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"30","2.05","1.88","2.08","2.29","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"32","1.96","1.78","1.97","2.17","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"34","1.87","1.68","1.86","2.06","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"36","1.78","--","1.76","1.96","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"38","1.69","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"40","1.62","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"42","1.56","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"44","1.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
