range,large,intermediate,small,destroyer,submarine
1.0,100.0,100.0,100.0,100.0,34.041
2.0,99.056,95.543,79.807,55.078,16.625
3.0,73.565,59.135,35.792,22.635,8.014
4.0,51.892,38.063,22.382,13.686,4.695
5.0,34.941,24.732,14.379,8.915,3.09
6.0,24.973,17.278,9.438,5.953,2.107
7.0,18.789,12.771,6.752,4.404,1.495
8.0,14.559,9.805,5.2,3.268,1.099
9.0,11.437,7.825,3.913,2.558,0.903
10.0,9.155,6.256,3.204,1.984,0.681
11.0,7.56,5.04,2.52,1.575,0.483
12.0,6.787,4.525,2.262,1.392,0.413
13.0,5.768,3.845,1.923,1.154,0.322
14.0,4.669,3.183,1.485,0.849,0.296
15.0,3.975,2.572,1.169,0.702,0.196
16.0,3.353,2.063,1.032,0.516,0.216
