range,large,intermediate,small,destroyer,submarine
1.0,100.0,100.0,100.0,100.0,34.04110755813954
2.0,99.05249999999998,95.54,79.804,55.076,16.62474418604651
3.0,73.56194444444445,59.13248611111111,35.79071527777778,22.634444444444448,8.014172480620156
4.0,51.890222222222214,38.06233333333333,22.38122222222222,100.0,4.694387596899224
5.0,34.941374999999994,24.732166666666664,14.379166666666665,8.915083333333332,3.0898488372093014
6.0,24.973444444444446,17.27813888888889,9.43763888888889,5.952972222222221,2.1070077519379846
7.0,18.788444444444448,12.770270833333337,6.752097222222224,4.403541666666668,1.4951560077519384
8.0,14.558444444444444,9.804666666666666,5.199444444444444,3.2682222222222217,1.0986201550387595
9.0,11.437472222222224,7.825638888888892,3.912819444444446,2.5583819444444456,0.9029583333333334
10.0,9.154583333333333,6.255631944444443,3.2041041666666668,1.9834930555555557,0.6812713178294574
11.0,7.5600000000000005,5.04,2.52,1.575,0.4834883720930233
12.0,6.7868125,4.524541666666668,2.262270833333334,1.3921666666666668,0.41279360465116294
13.0,5.76743125,3.844954166666667,1.9224770833333336,1.15348625,0.3219031395348837
14.0,4.66838013888889,3.182986458333334,1.4853936805555557,0.8487963888888891,0.2960917635658915
15.0,3.9757569444444454,2.5725486111111118,1.169340277777778,0.7016041666666668,0.195796511627907
16.0,3.3530674305555555,2.0634261111111107,1.0317130555555554,0.5158565277777777,0.21593994186046508
