range,angle_of_elevation,time_of_flight,rate_of_fire
1.0,0.355,1.09,11.934954497985977
2.0,0.7683333000000001,2.32,11.862396204033214
3.0,1.256667,3.71,11.781454027784594
4.0,1.833333,5.28,11.691348402182385
5.0,2.5266669999999998,7.06,11.590843233845263
6.0,3.355,9.08,11.478859766596518
7.0,4.353333,11.37,11.354496853858162
8.0,5.545,13.92,11.219147344801796
9.0,6.94,16.71,11.074708135296017
10.0,8.556667,19.71,10.923490055072596
11.0,10.395,22.85,10.582010582010582
12.0,12.445,26.14,9.577397342272237
13.0,14.711670000000002,29.72,8.669370787904928
14.0,17.206670000000006,33.5,7.854258988299444
15.0,19.925,37.52,7.1265255218695245
16.0,22.96167,41.8,6.461744988849452
