"range","large","intermediate","small","destroyer","submarine"
"1","99.99636111111113","99.99636111111113","99.99636111111113","99.99636111111113","35.98650151515152"
"2","99.07570277777779","95.87246111111111","80.86780277777778","56.47820833333333","17.395594696969695"
"3","76.859","67.24455555555555","40.26755555555555","25.449999999999996","9.48590909090909"
"4","58.02638888888889","45.89722222222221","26.194444444444443","16.798611111111107","5.792803030303029"
"5","41.87563888888889","30.51758888888889","17.78280555555556","11.702233333333332","4.005042424242424"
"6","31.105366666666654","21.97033333333333","12.604033333333328","8.325599999999998","2.6963590909090898"
"7","23.963583333333332","16.792","9.270583333333333","6.1803888888888885","2.0035909090909088"
"8","18.946122222222225","13.179911111111108","7.4137","4.883627777777778","1.5084151515151514"
"9","15.626583333333338","10.695000000000002","6.1199166666666684","3.980916666666668","1.1019090909090912"
"10","13.028438888888887","9.005833333333332","4.86315","3.182061111111111","0.9005833333333333"
"11","11.1081","7.5268","4.006200000000001","2.6101","0.6952909090909091"
"12","9.517430555555558","6.385888888888893","3.254347222222223","1.9648888888888896","0.6028636363636366"
"13","8.140194444444445","5.530361111111112","2.734111111111112","1.5534722222222226","0.49146212121212124"
"14","7.240527861111114","4.849160861111112","2.391367000000001","1.461390944444445","0.3985611666666668"
"15","6.356083333333334","4.285000000000001","1.999666666666667","1.2140833333333336","0.2921590909090909"
"16","5.595855555555556","3.679466666666667","1.6864222222222225","0.9965222222222224","0.2926848484848484"
