range,angle_of_elevation,time_of_flight,rate_of_fire
1.0,0.3716667,1.11,11.933767589876188
2.0,0.7783333,2.31,11.86298255152983
3.0,1.233333,3.6,11.787819253438114
4.0,1.735,5.0,11.707317073170733
5.0,2.295,6.51,11.621713234225945
6.0,2.921667,8.14,11.530700490054771
7.0,3.621667,9.9,11.434016198189614
8.0,4.406667,11.82,11.33037484656784
9.0,5.281667,13.9,11.220196353436183
10.0,6.258333,16.14,11.10391412973073
11.0,7.343333,18.52,10.982976386600768
12.0,8.541667,21.05,10.857272110382265
13.0,9.851667,23.7,10.728654447921322
14.0,11.26667,26.47,10.036100690525545
15.0,12.775,29.35,9.334889148191365
16.0,14.365,32.31,8.69691259602841
