"class","description","character_of_construction","above_water_tonnage","sqrt_area_to_vitals"
"BB post-Jutland","battleship","2.45","1","3.16"
"BB pre-Jutland","battleship","2.16","1","3.16"
"CC post-Jutland","battlecruiser","2.16","1","2.65"
"OBB","battleship (old)","1.92","1","3.16"
"BM","monitor","1.92","0.5","3.16"
"CC pre-Jutland","battlecruiser","1.92","1","2.65"
"OCC","battlecruiser (old)","1.92","1","2.65"
"CA","cruiser (armored)","1.68","1","2.45"
"OBM","monitor (old)","1.68","0.5","3.16"
"OCA","cruiser (armored, old)","1.44","1","2.45"
"CL","cruiser (light)","1.44","1","2.45"
"OCL","cruiser (light, old)","1.44","1","2.45"
"D","destroyer or flotilla leader","1.2","1","2"
"A","merchant","1.2","1","2.24"
"S","submarine","1.2","0.2","1.41"
